ct_label,year,n_papers,n_unique_doi,mean_citations,median_citations,total_citations,mean_altmetric,total_altmetric,mean_mendeley_readers,total_mendeley_readers,share_oa,mean_ct_score
core,2013,62,62,59.193548387096776,10.0,3670.0,1.6846774193548388,104.45,112.1774193548387,6955.0,0.14516129032258066,2.435483870967742
core,2014,91,91,48.31868131868132,9.0,4397.0,2.0225274725274724,184.05,115.75824175824175,10534.0,0.14285714285714285,2.5494505494505493
core,2015,116,116,35.827586206896555,13.0,4156.0,1.9262931034482758,223.45,112.86206896551724,13092.0,0.16379310344827586,2.5258620689655173
core,2016,166,166,44.3433734939759,13.0,7361.0,2.3412650602409637,388.65,120.0,19920.0,0.1746987951807229,2.4759036144578315
core,2017,278,278,36.74460431654676,10.0,10215.0,3.7938848920863313,1054.7,110.12230215827338,30614.0,0.17266187050359713,2.5719424460431655
core,2018,352,352,23.619318181818183,8.0,8314.0,1.7213068181818185,605.9000000000001,90.76420454545455,31949.0,0.23579545454545456,2.5369318181818183
core,2019,477,477,21.69182389937107,8.0,10347.0,1.4708595387840664,701.5999999999997,87.91404612159329,41935.0,0.3584905660377358,2.5723270440251573
core,2020,543,543,26.132596685082873,9.0,14190.0,1.7540515653775324,952.45,103.32044198895028,56103.0,0.3720073664825046,2.5506445672191527
core,2021,657,657,17.496194824961947,6.0,11495.0,2.161187214611872,1419.8999999999999,82.59512937595129,54265.0,0.3439878234398782,2.4733637747336377
core,2022,693,693,12.718614718614718,5.0,8814.0,1.0816738816738813,749.5999999999998,70.44877344877345,48821.0,0.4401154401154401,2.5526695526695526
core,2023,771,771,10.456549935149157,4.0,8062.0,1.0364461738002595,799.1,58.84565499351491,45370.0,0.42412451361867703,2.4993514915693904
core,2024,852,852,5.933098591549296,2.0,5055.0,0.635387323943662,541.35,40.848591549295776,34803.0,0.4495305164319249,2.5258215962441315
core,2025,863,863,1.7002314814814814,0.0,1469.0,0.6375,550.8,21.458333333333332,18540.0,0.4861111111111111,2.4270833333333335
core,2026,36,36,0.19444444444444445,0.0,7.0,0.05555555555555555,2.0,10.277777777777779,370.0,0.19444444444444445,2.2222222222222223
noise,1988,1,1,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0
noise,1989,1,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
noise,1991,1,1,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0
noise,1993,4,4,86.75,24.0,347.0,1.75,7.0,74.25,297.0,0.0,0.0
noise,1994,3,3,24.0,15.0,72.0,0.0,0.0,10.333333333333334,31.0,0.0,0.0
noise,1995,3,3,5.666666666666667,6.0,17.0,0.0,0.0,21.333333333333332,64.0,0.0,0.0
noise,1996,3,3,1.6666666666666667,2.0,5.0,0.0,0.0,3.0,9.0,0.0,0.0
noise,1997,8,8,85.125,38.0,681.0,0.375,3.0,60.5,484.0,0.125,0.0
noise,1998,2,2,80.5,80.5,161.0,0.0,0.0,28.5,57.0,0.0,0.5
noise,1999,6,6,29.333333333333332,14.5,176.0,1.1666666666666667,7.0,82.0,492.0,0.16666666666666666,0.16666666666666666
noise,2000,2,2,99.5,99.5,199.0,4.125,8.25,180.5,361.0,0.0,0.0
noise,2001,2,2,5563.0,5563.0,11126.0,193.25,386.5,7651.0,15302.0,0.0,0.0
